"Book","Top_Terms"
"The Hiding Place: The Triumphant True Story of Corrie Ten Boom","corrie, boom, dutch, ten, hiding, aiding, contentedly, ensue, laughed, oldmaid"
"A Light in the Attic","whatif, shel, attic, albumhere, broiled, camelfrom, chestwhatif, crawled, exactlywatt, flunk"
"The Silence of the Lambs","fivemillioncopy, hannibal, lecter, mindin, psychopaths, trainee, crimes, chambers, lambs, fbi"
"Shiver","wolf—, yelloweyed, grace, sam, woods, winter, fearless, human…, withoutmeanwhile, againnow"
"Uglies","pretty, tally, shay, tallys, shell, isnt, choice, funbut, hightech, repellent"
"City of Fallen Angels","jace, shadowhunters, downworlders, ’s, lead, excited, pricesomeone, provoking, solution, —"
"Man's Search for Meaning","meaning, argues, frankl, frankls, logotherapy, meaningful, primary, riveted, viktor, inspire"
"She's Come Undone","dolores, chips, kinder, lamb, mallomars, nourishing, orbits, pepsi, wisemouthed, yearsmeet"
"The Phantom of the Opera","opera, christine, phantom, house, carlotta, christines, daaé, deformed, disasterlerouxs, donna"
"Marley and Me: Life and Love With the World's Worst Dog","marley, admonishment, barreling, couches, drool, drywall, flung, furball, good—marley, gouged"
"Ella Enchanted","ella, lucinda, obedience, fairy, curse, prince, carson, deviations, docile, ellas"
"The Wind-Up Bird Chronicle","okada, japans, tokyo, searches, bird, antagonists, birdcatcher, cheerfully, excavation, heroically"
"Cinder","beijing, blamed, cyborg, kai’s, raucous, secondclass, stepsister’s, stepmother, androids, citizen"
"The Green Mile","mile, coffey, edgecombe, green, seen, cold, beliefes, depressionworn, lists—simultaneously—, overwelcome"
"Blindness","blindness, assaulting, charges—among, confine, josé, lossa, prize–winning, rations, reclaims, saramago"
"A Clash of Kings","coldest, martin, george, whole, baratheon—, comet, dragonstone, eddard, enforced, leaders—lord"
"The Sound and the Fury","benjy, bookthe, caddy, compson, dilsey, harrowed, manchild, mesh, quentin, arguably"
"The Shack","shack, mack, allen, astounded, keepsake, mackenzie, phillipss, wintry, god, inviting"
